equipment,model,sub_model,manufacturer,losses_total,abandoned,abandoned and destroyed,captured,captured and destroyed,captured and stripped,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,damaged by Bayraktar TB2,destroyed,destroyed by Bayraktar TB2,destroyed by Bayraktar TB2 and Harpoon AShM,sunk
Tanks,T-62M,,the Soviet Union,1,,,,,,,,,,,1.0,,,
Tanks,T-64A,,the Soviet Union,2,,,,,,,,,,,2.0,,,
Tanks,T-64BV,,the Soviet Union,37,2.0,,4.0,,,2.0,,1.0,,,28.0,,,
Tanks,T-72A,,the Soviet Union,31,1.0,,14.0,,,1.0,,,,,15.0,,,
Tanks,T-72AV,,the Soviet Union,8,,,2.0,,,,,1.0,,,5.0,,,
Tanks,T-72B,,the Soviet Union,160,3.0,,47.0,2.0,1.0,4.0,4.0,3.0,,,96.0,,,
Tanks,T-72B Obr. 1989,,the Soviet Union,62,3.0,1.0,14.0,,1.0,2.0,,3.0,,,38.0,,,
Tanks,T-72BA,,Russia,6,,,4.0,,,1.0,,,,,1.0,,,
Tanks,T-72B3,,Russia,142,8.0,,41.0,1.0,,6.0,2.0,4.0,,,80.0,,,
Tanks,T-72B3 Obr. 2016,,Russia,130,4.0,3.0,52.0,,,1.0,,9.0,,,61.0,,,
Tanks,Unknown T-72,,the Soviet Union,4,,,,,,2.0,,,,,2.0,,,
Tanks,T-80BV,,the Soviet Union,71,1.0,1.0,19.0,,,,3.0,1.0,,,46.0,,,
Tanks,T-80BVK,,the Soviet Union,2,,,1.0,,,,,1.0,,,,,,
Tanks,T-80U,,Russia,77,10.0,3.0,28.0,,2.0,1.0,,2.0,,,31.0,,,
Tanks,T-80UK,,Russia,2,,1.0,1.0,,,,,,,,,,,
Tanks,T-80UE-1,,Russia,5,,,4.0,,,,,,,,1.0,,,
Tanks,T-80UM2,,Russia,1,,,,,,,,,,,1.0,,,
Tanks,T-80BVM,,Russia,35,,,16.0,,,2.0,1.0,1.0,,,15.0,,,
Tanks,T-90A,,Russia,20,2.0,2.0,8.0,,,,,,,,8.0,,,
Tanks,T-90M,,Russia,2,1.0,,,,,,,,,,1.0,,,
Tanks,Unknown tank,,Russia,205,3.0,,2.0,,,20.0,3.0,,,,177.0,,,
Armoured Fighting Vehicles,BRM-1K reconnaissance vehicle,,the Soviet Union,13,,,1.0,,,,,,,,12.0,,,
Armoured Fighting Vehicles,BRDM-2,,the Soviet Union,2,,,,,,,,,,,2.0,,,
Armoured Fighting Vehicles,MT-LB,,the Soviet Union,187,15.0,,57.0,,,1.0,,,,,114.0,,,
Armoured Fighting Vehicles,MT-LBVM and MT-LBVMK,,the Soviet Union,92,8.0,,54.0,,,,,1.0,,,29.0,,,
Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,,the Soviet Union,7,,,,,,,,,,,5.0,2.0,,
Armoured Fighting Vehicles,MT-LBM 6MB,,the Soviet Union,3,1.0,,1.0,,,,,,,,1.0,,,
Armoured Fighting Vehicles,MT-LBu,,the Soviet Union,14,1.0,,5.0,,,,,,,,8.0,,,
Armoured Fighting Vehicles,Vityaz DT-10PM articulated tracked carrier,,Russia,1,,,,,,,,,,,1.0,,,
Armoured Fighting Vehicles,Vityaz DT-30 articulated tracked carrier,,Russia,3,,,1.0,,,,,1.0,,,1.0,,,
Armoured Fighting Vehicles,GAZ-3344-20 'Aleut' articulated tracked carrier,,Russia,2,,,,,,,,,,,2.0,,,
Armoured Fighting Vehicles,2S1 with ZU-23 AA gun,,the Soviet Union,1,,,1.0,,,,,,,,,,,
Armoured Fighting Vehicles,Unknown BTR-D/BMD-2,,the Soviet Union,8,,,1.0,,,,,,,,7.0,,,
Armoured Fighting Vehicles,Unknown BTR-80/BTR-82A,,Russia,38,2.0,,,,,,1.0,,,,35.0,,,
Armoured Fighting Vehicles,Unknown AFV,,Russia,150,1.0,,2.0,,,6.0,,,,,138.0,3.0,,
Infantry Fighting Vehicles,BMP-1(P),,the Soviet Union,130,5.0,,39.0,,,2.0,5.0,3.0,,,76.0,,,
Infantry Fighting Vehicles,BMP-1AM,,Russia,16,2.0,,,1.0,,1.0,1.0,2.0,,,9.0,,,
Infantry Fighting Vehicles,BMP-2(K),,the Soviet Union,379,27.0,,74.0,,,4.0,9.0,8.0,,,257.0,,,
Infantry Fighting Vehicles,BMP-2 675-sb3KDZ,,Russia,1,,,1.0,,,,,,,,,,,
Infantry Fighting Vehicles,Unknown BMP-1/2,,the Soviet Union,60,1.0,,,,,3.0,1.0,,,,55.0,,,
Infantry Fighting Vehicles,BMP-3,,Russia,129,3.0,,43.0,,,4.0,,4.0,,,75.0,,,
Infantry Fighting Vehicles,BMO-T,,Russia,2,,,,,,,,,,,2.0,,,
Infantry Fighting Vehicles,BMD-2,,the Soviet Union,117,6.0,,26.0,,2.0,5.0,,1.0,,,76.0,1.0,,
Infantry Fighting Vehicles,BMD-2,with RP-337VM1 jammer,the Soviet Union,2,,,1.0,,,,,,,,1.0,,,
Infantry Fighting Vehicles,BMD-2,with RP-377VM1 jammer,the Soviet Union,1,,,1.0,,,,,,,,,,,
Infantry Fighting Vehicles,BMD-4M,,Russia,54,,,9.0,,,,,1.0,,,44.0,,,
Infantry Fighting Vehicles,BMD-4M,with RP-337VM1 jammer,Russia,1,,,1.0,,,,,,,,,,,
Infantry Fighting Vehicles,BTR-82A(M),,Russia,193,11.0,,53.0,,,6.0,1.0,3.0,,,119.0,,,
Armoured Personnel Carriers,BTR-70,,the Soviet Union,2,,,,,,,,,,,2.0,,,
Armoured Personnel Carriers,BTR-70M,,Russia,1,,,,,,,,,,,1.0,,,
Armoured Personnel Carriers,BTR-80,,the Soviet Union,77,4.0,,29.0,,,1.0,,2.0,,,41.0,,,
Armoured Personnel Carriers,BTR-D,,the Soviet Union,54,5.0,,16.0,,,,,2.0,,,30.0,1.0,,
Armoured Personnel Carriers,BTR-MDM 'Rakushka',,Russia,11,,,6.0,,,1.0,,,,,4.0,,,
Mine-Resistant Ambush Protected,KamAZ-63968 Typhoon,,Russia,14,,,4.0,,,2.0,1.0,,,,7.0,,,
Mine-Resistant Ambush Protected,Kamaz-435029 Patrol-A,,Russia,1,,,,,,1.0,,,,,,,,
Mine-Resistant Ambush Protected,K-53949 Typhoon-K,,Russia,9,1.0,,2.0,,,,,,,,6.0,,,
Mine-Resistant Ambush Protected,K-53949 Linza,,Russia,6,,,3.0,,,1.0,,,,,2.0,,,
Infantry Mobility Vehicles,GAZ Tigr,,Russia,7,1.0,,2.0,,,,,,,,4.0,,,
Infantry Mobility Vehicles,GAZ Tigr-M,,Russia,78,,,24.0,,,1.0,,1.0,,,52.0,,,
Infantry Mobility Vehicles,GAZ Tigr-M,with Arbalet-DM turret,Russia,6,,,1.0,,,,,,,,5.0,,,
Infantry Mobility Vehicles,Iveco LMV Rys,,Italy,23,,1.0,1.0,,,1.0,,2.0,,,18.0,,,
Command Posts And Communications Stations,BMP-1KSh command and staff vehicle,,the Soviet Union,9,,,3.0,,,,,,,,6.0,,,
Command Posts And Communications Stations,BMD-1KSh-A command vehicle,,the Soviet Union,4,,,1.0,,,,,,,,3.0,,,
Command Posts And Communications Stations,BTR-60PU-12M air defence command vehicle,,the Soviet Union,1,,,1.0,,,,,,,,,,,
Command Posts And Communications Stations,R-145BM1 command vehicle,,the Soviet Union,2,,,1.0,,,,,,,,1.0,,,
Command Posts And Communications Stations,"R-142NSA command and signals vehicle (1, destroyed) (2, destroyed)",,the Soviet Union,2,,,,,,,,,,,2.0,,,
Command Posts And Communications Stations,R-149MA1 command and staff vehicle,,Russia,33,2.0,,14.0,,,,1.0,,,,16.0,,,
Command Posts And Communications Stations,R-149MA3 command and staff vehicle,,Russia,12,,,6.0,,,,,2.0,,,4.0,,,
Command Posts And Communications Stations,R-149MA3 command and staff vehicle,with RP-337VM1 jammer,Russia,1,,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,APE-5 command post,,Russia,2,,,,,,,,,,,2.0,,,
Command Posts And Communications Stations,MSh-5350.1 command vehicle,,Russia,1,,,1.0,,,,,,,,,,,
Command Posts And Communications Stations,9S470M1 (or variant thereof) command post (for Buk-M1/2),,Russia,1,,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,MP-2IM signals vehicle,,Russia,1,1.0,,,,,,,,,,,,,
Command Posts And Communications Stations,Barnaul-T 9С932-1 automated system for air defence units,,Russia,5,1.0,,4.0,,,,,,,,,,,
Command Posts And Communications Stations,"9S932-2 intelligence, control and command vehicle (for Barnaul-T)",,Russia,1,,,1.0,,,,,,,,,,,
Command Posts And Communications Stations,Command vehicle for Podlet-K1 low-altitude S-band surveillance radar,,Russia,1,,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,R-149AKSh-1 command and signals vehicle,,Russia,6,,,,,,,,,,,6.0,,,
Command Posts And Communications Stations,R-166-0.5 signals vehicle,,Russia,17,2.0,,5.0,,,,,1.0,,,9.0,,,
Command Posts And Communications Stations,P-260 Redut-2US communication system,,Russia,1,,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,R-419L1 communications station,,Russia,1,1.0,,,,,,,,,,,,,
Command Posts And Communications Stations,P-260-U signal vehicle (for Redut-2US signal and communications system),,Russia,1,,,,1.0,,,,,,,,,,
Command Posts And Communications Stations,R-439-MD2 SatCom Station,,Russia,2,,,,,,,,,,,2.0,,,
Command Posts And Communications Stations,Auriga-1.2V portable satellite communications station,,Russia,2,,,1.0,,,,,,,,1.0,,,
Command Posts And Communications Stations,Unknown communications station based on the KamAZ 6x6,,Russia,6,,,,,,,,1.0,,,5.0,,,
Command Posts And Communications Stations,Unknown communications station,,Russia,1,,,,,,,,,,,,1.0,,
Engineering Vehicles And Equipment,UR-67 mine clearing charge on BTR-D APC,,the Soviet Union,1,,,1.0,,,,,,,,,,,
Engineering Vehicles And Equipment,UR-77 'Meteorit'  mine clearing vehicle,,the Soviet Union,13,2.0,,7.0,,,,,,,,4.0,,,
Engineering Vehicles And Equipment,GMZ-3 minelayer,,the Soviet Union,1,,,1.0,,,,,,,,,,,
Engineering Vehicles And Equipment,RKhM-6 Povozka,,Russia,3,,,,,,,,,,,3.0,,,
Engineering Vehicles And Equipment,RKhM-6 Povozka,with RP-377VM1 jammer,Russia,1,,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,BAT-2 heavy engineering vehicle,,the Soviet Union,6,,,3.0,,,,,,,,3.0,,,
Engineering Vehicles And Equipment,MDK-3 trench-digging vehicle,,the Soviet Union,2,,,1.0,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,BTS-4A armoured recovery vehicle,,the Soviet Union,1,,,1.0,,,,,,,,,,,
Engineering Vehicles And Equipment,BREM-1 armoured recovery vehicle,,the Soviet Union,14,3.0,,9.0,,,,,,,,2.0,,,
Engineering Vehicles And Equipment,BREM-2 armoured recovery vehicle,,the Soviet Union,1,,,1.0,,,,,,,,,,,
Engineering Vehicles And Equipment,BREM-Ch ''BREM-4'' armoured recovery vehicle,,the Czech Republic,5,1.0,,1.0,,,,,,,,3.0,,,
Engineering Vehicles And Equipment,BREM-D armoured recovery vehicle,,Russia,2,,,1.0,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,BREM-K armoured recovery vehicle,,Russia,2,,,2.0,,,,,,,,,,,
Engineering Vehicles And Equipment,REM-KL recovery vehicle,,Russia,4,,,1.0,,,1.0,,,,,2.0,,,
Engineering Vehicles And Equipment,MTP-A2 recovery vehicle,,Russia,2,,,,,,,,,,,2.0,,,
Engineering Vehicles And Equipment,MTP-A2.1 recovery vehicle,,Russia,1,,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,Ural-4320 KET-L recovery vehicle,,Russia,1,,,,,,,,1.0,,,,,,
Engineering Vehicles And Equipment,Ural-4320 KT-L recovery vehicle,,Russia,4,,,2.0,,,,,,,,2.0,,,
Engineering Vehicles And Equipment,IMR-2(M) combat engineering vehicle,,the Soviet Union,10,2.0,1.0,5.0,,,,,,,,2.0,,,
Engineering Vehicles And Equipment,IMR-3M combat engineering vehicle,,Russia,1,,,,,,,,1.0,,,,,,
Engineering Vehicles And Equipment,PTS-3  tracked amphibious transport,,the Soviet Union,10,4.0,,1.0,,,,1.0,,,,4.0,,,
Engineering Vehicles And Equipment,TMM-3 bridge layer,,the Soviet Union,24,2.0,,12.0,,,,1.0,3.0,,,6.0,,,
Engineering Vehicles And Equipment,MTU-72 bridge layer,,Russia,1,,,1.0,,,,,,,,,,,
Engineering Vehicles And Equipment,PMP floating bridge,,the Soviet Union,6,,,1.0,,,,,,,,5.0,,,
Engineering Vehicles And Equipment,PP-2005 floating bridge,,Russia,24,10.0,,3.0,,,,4.0,,,,7.0,,,
Engineering Vehicles And Equipment,Pontoon bridge,,Russia,8,1.0,,3.0,,,,,,,,4.0,,,
Engineering Vehicles And Equipment,BMK-130M/BMK-150 towing and motor boat,,the Soviet Union,1,,,1.0,,,,,,,,,,,
Engineering Vehicles And Equipment,BMK-460 towing and motor boat,,the Soviet Union,10,7.0,,,,,,,,,,3.0,,,
Engineering Vehicles And Equipment,KrAZ-255B with excavator,,the Soviet Union,1,,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,KamAZ-5350 with EOV-3523 excavator,,Russia,7,,,4.0,,,,,,,,2.0,1.0,,
Engineering Vehicles And Equipment,KamAZ-5350 with KS-45719-7M crane,,Russia,5,,,1.0,,,1.0,,,,,3.0,,,
Engineering Vehicles And Equipment,KamAZ-5350 with crane,,Russia,1,,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,Ural-4320 with KS-3574M3 or KS-3574M crane,,Russia,3,,,1.0,,,,,,,,2.0,,,
Engineering Vehicles And Equipment,KamAZ KMV-10V boom crane truck,,Russia,1,,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,Ural-4320 with excavator,,Russia,1,,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,ED2x30-T400-3RA mobile generator,,Russia,1,,,,,,1.0,,,,,,,,
Engineering Vehicles And Equipment,Mobile generator for Podlet-K1 low-altitude S-band surveillance radar,,Russia,1,,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,MTO-UB1 maintenance vehicle,,Russia,1,,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,MTO-AT mobile workshop,,Russia,2,,,1.0,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,MTO-AG-3M,,Russia,1,,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,ARS-14U decontamination and degassing vehicle,,Russia,1,,,,,,,,,,,1.0,,,
Self-Propelled Anti-Tank Missile Systems,9P148 Konkurs,,the Soviet Union,2,,,,,,,,,,,2.0,,,
Self-Propelled Anti-Tank Missile Systems,9P149 Shturm-S,,the Soviet Union,19,5.0,,9.0,,,,,,,,5.0,,,
Self-Propelled Anti-Tank Missile Systems,9P163M-1 Kornet-T,,Russia,2,,,,,,,,,,,2.0,,,
Heavy Mortars,120mm 2B11/2S12,,the Soviet Union,10,,,7.0,,,,,,,,3.0,,,
Heavy Mortars,120mm 2B11/2S12A,,Russia,4,,,1.0,,,,,,,,2.0,1.0,,
Heavy Mortars,Unknown heavy mortar,,Russia,2,,,,,,,,,,,2.0,,,
