equipment,model,sub_model,manufacturer,losses_total,,abandoned,abandoned and destroyed,captured,captured and destroyed,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,destroyed,destroyed by,scuttled to prevent capture by Russia,sunk,sunk but raised by Russia
Tanks,T-64A,,the Soviet Union,1,,,,1.0,,,,,,,,,,
Tanks,T-64B,,the Soviet Union,1,,,,,,,,,,1.0,,,,
Tanks,T-64BV,,the Soviet Union,152,,1.0,,47.0,8.0,7.0,,4.0,,85.0,,,,
Tanks,T-64BV Zr. 2017,,Ukraine,52,,3.0,,28.0,,1.0,1.0,,,19.0,,,,
Tanks,T-64BVK,,the Soviet Union,1,,,,1.0,,,,,,,,,,
Tanks,T-64B1M,,Ukraine,7,,,,6.0,,,,,,1.0,,,,
Tanks,T-64BM 'Bulat',,Ukraine,8,,,,3.0,,1.0,,,,4.0,,,,
Tanks,T-64BM2 'Bulat',,Ukraine,3,,,,,,1.0,,,,2.0,,,,
Tanks,T-72 'Ural',,the Soviet Union,3,,,,1.0,,1.0,,,,1.0,,,,
Tanks,T-72M/M1(R),,Poland,35,,1.0,,7.0,,1.0,4.0,,,22.0,,,,
Tanks,T-72AV,,the Soviet Union,9,,,,3.0,,,,1.0,,5.0,,,,
Tanks,T-72B,,the Soviet Union,23,,,,7.0,,1.0,,1.0,,14.0,,,,
Tanks,T-72AMT,,Ukraine,13,,,,4.0,,,1.0,1.0,,7.0,,,,
Tanks,T-80BV,,the Soviet Union,27,,1.0,,8.0,,2.0,1.0,5.0,,10.0,,,,
Tanks,Unknown tank,,Ukraine,36,,,,,,1.0,,,,35.0,,,,
Armoured Fighting Vehicles,BRM-1K reconnaissance vehicle,,the Soviet Union,25,,2.0,,8.0,,1.0,1.0,1.0,,12.0,,,,
Armoured Fighting Vehicles,BRDM-2,,the Soviet Union,53,,,,30.0,,,,,,23.0,,,,
Armoured Fighting Vehicles,BRDM-2L1,,Ukraine,33,,,,17.0,,1.0,,,,15.0,,,,
Armoured Fighting Vehicles,BRDM-2RKhb chemical reconnaissance vehicle,,the Soviet Union,2,,,,,,,,,,2.0,,,,
Armoured Fighting Vehicles,MT-T multi-purpose tracked transporter,,the Soviet Union,1,,,,,,1.0,,,,,,,,
Armoured Fighting Vehicles,Vepr,,Ukraine,2,,,,1.0,,,,,,1.0,,,,
Armoured Fighting Vehicles,MT-LB,,the Soviet Union,27,,1.0,,5.0,,,,,,21.0,,,,
Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,,the Soviet Union,9,,,,2.0,,,,,,7.0,,,,
Armoured Fighting Vehicles,BTS-4 ARV with ZU-23 AA gun,,the Soviet Union,1,,,,1.0,,,,,,,,,,
Armoured Fighting Vehicles,MT-LBu,,the Soviet Union,4,,,,2.0,,,,,,2.0,,,,
Armoured Fighting Vehicles,MT-LB-S Ambulance,,Ukraine,14,,1.0,,5.0,,,,,,8.0,,,,
Armoured Fighting Vehicles,BMM-70 Ambulance,,Ukraine,1,,,,,,,,,,1.0,,,,
Armoured Fighting Vehicles,BMM-4C Ambulance,,Ukraine,3,,,,2.0,,,,,,1.0,,,,
Armoured Fighting Vehicles,Unknown AFV,,Ukraine,43,,,,,,,,,,43.0,,,,
Infantry Fighting Vehicles,BMP-1(P),,the Soviet Union,184,,11.0,1.0,28.0,,4.0,1.0,1.0,,138.0,,,,
Infantry Fighting Vehicles,BMP-1TS,,Ukraine,1,,,,,,,,,,1.0,,,,
Infantry Fighting Vehicles,BMP-1U 'Shkval',,Ukraine,1,,,,1.0,,,,,,,,,,
Infantry Fighting Vehicles,BWP-1,,Poland,1,,,,,,,,,,1.0,,,,
Infantry Fighting Vehicles,Pbv 501A,,Sweden,1,,,,,,,,,,1.0,,,,
Infantry Fighting Vehicles,BMP-2(K),,the Soviet Union,70,,6.0,,15.0,,1.0,1.0,,,47.0,,,,
Infantry Fighting Vehicles,Unknown BMP-1/2,,Ukraine,12,,,,,,,,,,12.0,,,,
Infantry Fighting Vehicles,BVP M-80A,,Yugoslavia %281946-1992%29,1,,,,,,1.0,,,,,,,,
Infantry Fighting Vehicles,BMD-2,,the Soviet Union,4,,,,3.0,,,,,,1.0,,,,
Infantry Fighting Vehicles,BTR-3,,Ukraine,33,,,,11.0,,1.0,,,,21.0,,,,
Infantry Fighting Vehicles,BTR-4,,Ukraine,60,,2.0,,20.0,3.0,3.0,1.0,,,31.0,,,,
Armoured Personnel Carriers,BTR-60PB,,the Soviet Union,14,,,,7.0,,,,,,7.0,,,,
Armoured Personnel Carriers,BTR-70,,the Soviet Union,24,,,,12.0,,3.0,,,,9.0,,,,
Armoured Personnel Carriers,BTR-70M,,Ukraine,20,,1.0,,11.0,,,,,,8.0,,,,
Armoured Personnel Carriers,BTR-7,,Ukraine,9,,,,9.0,,,,,,,,,,
Armoured Personnel Carriers,BTR-80,,the Soviet Union,76,,,,29.0,,1.0,,2.0,,44.0,,,,
Armoured Personnel Carriers,BTR-80M,,Ukraine,2,,,,2.0,,,,,,,,,,
Armoured Personnel Carriers,BTR-D,,the Soviet Union,2,,,,1.0,,,,,,1.0,,,,
Armoured Personnel Carriers,GT-MU AFV converted to APC,,the Soviet Union,1,,,,1.0,,,,,,,,,,
Armoured Personnel Carriers,Unknown BTR,,Ukraine,5,,1.0,,,,,,,,4.0,,,,
Armoured Personnel Carriers,YPR-765,,the Netherlands,14,,1.0,,1.0,,4.0,,,,8.0,,,,
Armoured Personnel Carriers,M113,,the United States,13,,,,1.0,,,1.0,,,11.0,,,,
Armoured Personnel Carriers,VAB,,France,5,,,,,,1.0,3.0,,,1.0,,,,
Armoured Personnel Carriers,Sisu XA-185,,Finland,1,,,,,,,,,,1.0,,,,
Mine-Resistant Ambush Protected,Vepr,,Ukraine,1,,,,1.0,,,,,,,,,,
Mine-Resistant Ambush Protected,KrAZ-MPV Shrek One,,Ukraine,2,,,,1.0,,,,,,1.0,,,,
Mine-Resistant Ambush Protected,Alvis 4 'Mamba',,the United Kingdom,3,,,,1.0,,,,,,2.0,,,,
Mine-Resistant Ambush Protected,Mastiff Protected Patrol,,the United Kingdom,4,,,,,,1.0,,,,3.0,,,,
Mine-Resistant Ambush Protected,Wolfhound Protected Patrol,,the United Kingdom,1,,,,,,,,,,1.0,,,,
Mine-Resistant Ambush Protected,Bushmaster Protected Mobility Vehicle,,Australia %28converted%29,5,,,,,,2.0,,,,3.0,,,,
Mine-Resistant Ambush Protected,International M1224 MaxxPro,,the United States,4,,,,,,2.0,,,,2.0,,,,
Mine-Resistant Ambush Protected,BMC Kirpi,,Turkey,7,,,,1.0,,1.0,1.0,,,4.0,,,,
Infantry Mobility Vehicles,KrAZ Cobra,,Ukraine,9,,,,6.0,,,,,,3.0,,,,
Infantry Mobility Vehicles,KrAZ Cougar,,Ukraine,5,,,,4.0,,,,,,1.0,,,,
Infantry Mobility Vehicles,KrAZ Spartan,,Ukraine,8,,,,,,,,,,8.0,,,,
Infantry Mobility Vehicles,Novator,,Ukraine,14,,,,3.0,,2.0,,,,9.0,,,,
Infantry Mobility Vehicles,Varta,,Ukraine,27,,,,21.0,,,,,,6.0,,,,
Infantry Mobility Vehicles,Kozak-2,,Ukraine,44,,,,19.0,,,,1.0,,24.0,,,,
Infantry Mobility Vehicles,Kozak-2M1,,Ukraine,12,,1.0,,6.0,,,,,,5.0,,,,
Infantry Mobility Vehicles,Kozak-5,,Ukraine,1,,,,1.0,,,,,,,,,,
Infantry Mobility Vehicles,Triton-1,,Ukraine,3,,,,3.0,,,,,,,,,,
Infantry Mobility Vehicles,M1114 and M1151 HMMWV,,the United States,32,,,,6.0,,1.0,,4.0,,21.0,,,,
Infantry Mobility Vehicles,M1152 HMMWV,,the United States,3,,,,,,,,,,3.0,,,,
Infantry Mobility Vehicles,M998 HMMWV,,the United States,14,,,,13.0,,,,1.0,,,,,,
Infantry Mobility Vehicles,HMMWV Ambulance,,the United States,6,,,,2.0,,,,3.0,,1.0,,,,
Infantry Mobility Vehicles,AT105A Saxon,,the United Kingdom,13,,,,10.0,,,,,,3.0,,,,
Infantry Mobility Vehicles,Husky Tactical Support Vehicle,,the United Kingdom,14,,,,,,4.0,,1.0,,9.0,,,,
Infantry Mobility Vehicles,Iveco LMV,,Italy,5,,,,,,1.0,,,,4.0,,,,
Infantry Mobility Vehicles,MSL Shield,,Italy,1,,,,,,1.0,,,,,,,,
Infantry Mobility Vehicles,Unknown IMV,,Ukraine,2,,,,,,,2.0,,,,,,,
Command Posts And Communications Stations,BMP-1KSh command and staff vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,,,
Command Posts And Communications Stations,R-145BM1 command vehicle,,the Soviet Union,1,,,,1.0,,,,,,,,,,
Command Posts And Communications Stations,BTR-60PU-12 air defence command vehicle,,the Soviet Union,1,,,,1.0,,,,,,,,,,
Command Posts And Communications Stations,R-409A radio station vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,,,
Command Posts And Communications Stations,R-405M radio station vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,,,
Command Posts And Communications Stations,K1Sh1 command and staff vehicle,,Ukraine,1,,,,1.0,,,,,,,,,,
Command Posts And Communications Stations,Radio relay station for TB2,,Turkey,1,,,,,,,,,,1.0,,,,
Engineering Vehicles And Equipment,IMR-2 combat engineering vehicle,,the Soviet Union,4,,,,1.0,,,,,,3.0,,,,
Engineering Vehicles And Equipment,T-64 mine clearing roller tank,,Ukraine,1,,,,1.0,,,,,,,,,,
Engineering Vehicles And Equipment,BAT-2 heavy engineering vehicle,,the Soviet Union,1,,,,1.0,,,,,,,,,,
Engineering Vehicles And Equipment,IRM 'Zhuk' Engineer Reconnaissance Vehicle,,the Soviet Union,1,,,,1.0,,,,,,,,,,
Engineering Vehicles And Equipment,MDK-3 trench-digging vehicle,,the Soviet Union,1,,,,1.0,,,,,,,,,,
Engineering Vehicles And Equipment,RKhM 'Kashalot',,the Soviet Union,2,,,,1.0,,,,,,1.0,,,,
Engineering Vehicles And Equipment,BTS-4 armoured recovery vehicle,,the Soviet Union,4,,,,2.0,,,,,,2.0,,,,
Engineering Vehicles And Equipment,BREM-1 armoured recovery vehicle,,the Soviet Union,2,,,,1.0,,,,,,1.0,,,,
Engineering Vehicles And Equipment,Ural-4320 KET-L recovery vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,,,
Engineering Vehicles And Equipment,MTO-AT mobile workshop,,the Soviet Union,1,,,,,,,,,,1.0,,,,
Engineering Vehicles And Equipment,PTS-2  tracked amphibious transport,,the Soviet Union,1,,,,1.0,,,,,,,,,,
Engineering Vehicles And Equipment,PMP floating bridge,,the Soviet Union,3,,,,1.0,,,,,,2.0,,,,
